0,"barn",7519
1,"humor-glad",5711
2,"prod-egenproduktion",5177
3,"pub-en-i-taget",5155
4,"p3---barn-och-familj",4690
5,"alder-6-8",4549
6,"hp-gang",4398
7,"alder-9-11",4212
8,"sand-broadcast",3939
9,"drama",3765
10,"oppet-arkiv",3663
11,"upplast-undertext",3638
12,"serier",3394
13,"alder-3-5",3347
14,"amne-kompisar",3339
15,"underhallning",3215
16,"form-akta-manniskor",3137
17,"sand-webbunikt",2871
18,"amne-vardag",2802
19,"alder-12-15",2789
20,"amne-relation",2353
21,"prod-inkop",2155
22,"livsstil-och-reality",2062
23,"form-animation",2029
24,"form-drama",2026
25,"form-kortformat",2011
26,"seriefrossa",1974
27,"livsstil",1922
28,"amne-lara",1844
29,"dokumentar",1836
30,"amne-familj",1656
31,"alder-smabarn",1649
32,"humor-allvarligt",1634
33,"drama--oppet-arkiv",1498
34,"amne-aventyr",1496
35,"familjetittning",1456
36,"p2---spannande-och-berikande-k",1446
37,"amne-spannande",1446
38,"hp-kille",1423
39,"svenskt-drama",1384
40,"samhalle",1364
41,"p1---harligt-och-inspirerande-k",1330
42,"teen",1307
43,"amne-medverkande-barn",1251
44,"kultur",1250
45,"hp-tjej",1234
46,"tydligare-tal",1216
47,"langkorare",1165
48,"tecknat-och-animerat",1148
49,"amne-romantiskt",1126
50,"sport",1114
51,"nyheter",988
52,"minoriteter",981
53,"fakta",977
54,"amne-gora",920
55,"duo",892
56,"amne-fakta",858
57,"amne-sport",831
58,"p2---spannande-och-berikande-b",811
59,"dokumentarserier",798
60,"6.-assertive-dokumentar-ovrigt-k",762
61,"pub-blandat",757
62,"alder-0-2",755
63,"p6---nyheter-och-aktualitet",752
64,"3.-friendly-livsstil-k",748
65,"barn--oppet-arkiv",744
66,"humor",742
67,"musik",731
68,"p1---harligt-och-inspirerande",721
69,"for-hela-familjen",682
70,"reality",677
71,"ung",662
72,"riksnyheter",646
73,"form-dockor-i-dekor",628
74,"storbarnsserie",576
75,"90-tal",563
76,"amne-fabel",558
77,"1.-friendly-drama-k",531
78,"amne-fantasy",512
79,"alder-mini",508
80,"evenemang",507
81,"amne-slapstick",495
82,"karlek-och-romantik",491
83,"humor--oppet-arkiv",487
84,"bolibompa",487
85,"amne-bolibompa",487
86,"inspiration",478
87,"komedier",474
88,"tavlingsprogram",473
89,"4.-assertive-drama-k",466
90,"amne-feelgood",465
91,"djur-och-natur",463
92,"hp-hen",458
93,"talkshow",453
94,"omtalade-dokumentarer",448
95,"humor-skratt",447
96,"direktsand-sport",444
97,"6.-ovrig-tid-svt1-b",441
98,"margreth-weivers",436
99,"amne-mysterier",404
100,"historia",401
101,"p4---gemenskap-och-trygghet",395
102,"kultur--oppet-arkiv",387
103,"p2---spannande-och-berikande",378
104,"samhalle-och-fakta--oppet-arkiv",366
105,"vetenskap",363
106,"p1---harligt-och-inspirerande-b",362
107,"litteratur",355
108,"kultur-och-musikdokumentarer",335
109,"amne-baserat-pa-bocker",335
110,"halsa",331
111,"1.-svt1-21.00-b",320
112,"personportratt",317
113,"p4---gemenskap-och-trygghet-b",313
114,"australisk",309
115,"amne-scifi",304
116,"turkisk",297
